BANDERA;(Varios elementos);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
FECHA;FARMACIA;Meta 1 $$;;;;;;;;;;;;;;
3/4/2026;VILLA BALLESTER; $ 34.518.810 ;;;;;;;;;;;;;;
3/4/2026;VILLA BALLESTER II; $ 17.346.093 ;;;;;;;;;;;;;;
3/4/2026;VILLA CRESPO; $ 12.167.277 ;;;;;;;;;;;;;;
3/4/2026;VILLA DEL PARQUE; $ 13.448.307 ;;;;;;;;;;;;;;
3/4/2026;VILLA DEL PARQUE II; $ 13.892.679 ;;;;;;;;;;;;;;
3/4/2026;VILLA LURO; $ -   ;;;;;;;;;;;;;;
3/4/2026;VILLA URQUIZA; $ 18.425.998 ;;;;;;;;;;;;;;
3/4/2026;VILLA URQUIZA II; $ 9.130.349 ;;;;;;;;;;;;;;
3/4/2026;VILLA URQUIZA III; $ 13.861.045 ;;;;;;;;;;;;;;
Total 3/4/2026;; $ 560.288.973 ;;;;;;;;;;;;;;
4/4/2026;BARRACAS; $ 12.856.962 ;;;;;;;;;;;;;;
4/4/2026;BECCAR; $ 25.221.324 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO; $ 13.937.712 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO II; $ 14.358.256 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO III; $ 10.956.811 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO IV; $ 14.191.179 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO V; $ 20.303.075 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO VI; $ 6.177.525 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO VII - Danesa; $ 44.013.688 ;;;;;;;;;;;;;;
4/4/2026;BELGRANO VIII; $ 9.942.866 ;;;;;;;;;;;;;;
4/4/2026;BERAZATEGUI; $ 44.932.251 ;;;;;;;;;;;;;;
4/4/2026;BERAZATEGUI II; $ 15.028.903 ;;;;;;;;;;;;;;
4/4/2026;Boedo; $ 3.846.568 ;;;;;;;;;;;;;;
4/4/2026;CABALLITO; $ 39.930.449 ;;;;;;;;;;;;;;
4/4/2026;CABALLITO II; $ 15.061.057 ;;;;;;;;;;;;;;
4/4/2026;CABALLITO III; $ 17.956.608 ;;;;;;;;;;;;;;
4/4/2026;CABALLITO IV; $ 18.433.140 ;;;;;;;;;;;;;;
4/4/2026;CHACARITA; $ 5.878.505 ;;;;;;;;;;;;;;
4/4/2026;DEVOTO; $ 27.793.628 ;;;;;;;;;;;;;;
4/4/2026;Devoto II; $ 20.132.551 ;;;;;;;;;;;;;;
4/4/2026;Devoto III; $ 2.688.508 ;;;;;;;;;;;;;;
4/4/2026;Escobar; $ 2.749.678 ;;;;;;;;;;;;;;
4/4/2026;FLORES; $ 26.896.695 ;;;;;;;;;;;;;;
4/4/2026;GONZALEZ CATAN; $ 19.522.404 ;;;;;;;;;;;;;;
4/4/2026;GONZALEZ CATAN II; $ 11.430.953 ;;;;;;;;;;;;;;
4/4/2026;GONZALEZ CATAN III; $ 3.100.218 ;;;;;;;;;;;;;;
4/4/2026;ISDIN G. PACIFICO; $ 1.198.689 ;;;;;;;;;;;;;;
4/4/2026;ISDIN PALERMO; $ 1.174.348 ;;;;;;;;;;;;;;
4/4/2026;LAS CANITAS; $ 20.793.452 ;;;;;;;;;;;;;;
4/4/2026;LOREAL ALTO PALERMO; $ 3.395.952 ;;;;;;;;;;;;;;
4/4/2026;LOREAL G. PACIFICO; $ 1.500.795 ;;;;;;;;;;;;;;
4/4/2026;MERCEDES; $ 6.306.913 ;;;;;;;;;;;;;;
4/4/2026;MICROCENTRO; $ 2.162.899 ;;;;;;;;;;;;;;
4/4/2026;MICROCENTRO II; $ 5.495.889 ;;;;;;;;;;;;;;
4/4/2026;MORON; $ 13.963.596 ;;;;;;;;;;;;;;
4/4/2026;NUNEZ; $ 20.364.690 ;;;;;;;;;;;;;;
