ID_Sucursal,Sucursal,Ctx_Fecha_Hoy,Ctx_Dia_Del_Mes,Ctx_Dias_Totales_Mes,Ctx_Dias_Restantes,Ctx_Pct_Mes_Transcurrido,Ctx_Ultima_Franja_Hora,Acum_Tickets,Acum_Unidades,Acum_Neto,Acum_Cobertura,Acum_Cliente,Hoy_Tickets,Hoy_Unidades,Hoy_Neto,Hoy_Cobertura,Hoy_Cliente,Hora_Pico_Hoy,Hora_Pico_Hoy_Neto,Ultima_Franja_Con_Datos,Hora_Neto_Total,Hora_Tickets_Total,Hora_Unidades_Total,Ultima_Hora_Ticket,Alerta_Inactividad,SemAnt_Neto_HastaAhora,SemAnt_Tickets_HastaAhora,SemAnt_Unidades_HastaAhora,SemAnt_Neto_DiaCompleto,SemAnt_Tickets_DiaCompleto,Var_Pct_vs_SemAnt_HastaAhora,Meta_Diaria,Avance_Pct_Diario,Falta_Meta_Diaria
60,CHACARITA,2026-04-20,20,30,10,66.7,12,8399,11098,170544134.88,60530679.21,97674700.08,108.0,134.0,1573072.25,482260.0,713717.4,11.0,578123.69,11.0,1573072.25,108.0,134.0,11:53:52,ACTIVA,2172910.36,105.0,126.0,8344938.36,475.0,-27.6,6495675.0,24.2,4922603.0
61,GONZALEZ CATAN,2026-04-20,20,30,10,66.7,12,23847,27530,554160693.66,314796817.64,268348940.94,593.0,652.0,17935723.39,12980071.15,6055661.62,11.0,5535040.59,11.0,17935723.39,593.0,652.0,11:58:56,ACTIVA,20845241.99,850.0,993.0,45226069.13,1804.0,-14.0,29733667.0,60.3,11797944.0
62,MORON,2026-04-20,20,30,10,66.7,12,22041,27678,581684949.45,303490841.53,257871756.85,451.0,537.0,14033004.62,7960243.46,5423935.73,9.0,5801681.14,11.0,14033004.62,451.0,537.0,11:59:19,ACTIVA,15017485.42,578.0,679.0,39739928.13,1471.0,-6.6,23456433.0,59.8,9423428.0
63,RAMOS MEJIA II,2026-04-20,20,30,10,66.7,12,14112,20612,360766523.26,187432162.39,151045221.75,197.0,244.0,3980969.3,1949259.31,1753522.63,10.0,1300321.87,11.0,4099931.5200000005,199.0,246.0,11:57:10,ACTIVA,7848135.2,358.0,487.0,28449174.82,1046.0,-49.3,13653703.0,29.2,9672734.0
64,RAMOS MEJIA,2026-04-20,20,30,10,66.7,12,25294,31002,539643134.61,226074920.33,287888895.38,419.0,486.0,16025057.08,10571541.31,5186801.16,11.0,5999117.75,11.0,16025057.08,419.0,486.0,11:59:07,ACTIVA,10592697.61,541.0,690.0,46188795.75,1922.0,51.3,21544029.0,74.4,5518972.0
65,BOEDO,2026-04-20,20,30,10,66.7,12,10184,12674,151226341.17,28233159.26,121597411.45,141.0,190.0,1032830.72,20753.24,1475426.39,8.0,296589.87,12.0,1044433.22,142.0,191.0,12:00:12,ACTIVA,2205180.12,197.0,234.0,10420820.84,721.0,-53.2,5461754.0,18.9,4428923.0
66,DEVOTO II,2026-04-20,20,30,10,66.7,12,33296,40263,678947147.05,195705375.91,499505883.91,438.0,470.0,7357162.37,1579058.46,5911769.87,11.0,2601722.61,11.0,7357162.369999999,438.0,470.0,11:57:52,ACTIVA,13687575.64,537.0,646.0,38276120.49,1727.0,-46.2,19458815.0,37.8,12101653.0
67,GONZALEZ CATAN II,2026-04-20,20,30,10,66.7,12,15455,19329,269412815.37,122459352.21,189727848.13,384.0,445.0,6895004.81,3810158.2,3888785.4,10.0,2619990.61,11.0,6954929.93,385.0,446.0,11:59:51,ACTIVA,14512843.629999999,611.0,715.0,25850233.11,1265.0,-52.5,12749717.0,54.1,5854712.0
68,GONZALEZ CATAN III,2026-04-20,20,30,10,66.7,12,3891,5358,69548307.63,34165851.91,41588370.22,119.0,204.0,2659764.81,1641392.97,1337467.87,11.0,925328.92,11.0,2659764.81,119.0,204.0,11:59:15,ACTIVA,2396956.61,158.0,196.0,4993038.88,327.0,11.0,3910299.0,68.0,1250534.0
69,RAMOS MEJIA III,2026-04-20,20,30,10,66.7,12,2070,2434,42899689.14,18744139.47,23376198.02,23.0,26.0,397643.51,139552.64,233434.01,10.0,235369.83,12.0,408196.79,24.0,27.0,12:00:10,ACTIVA,811746.66,56.0,66.0,1949286.41,139.0,-51.0,2004036.0,19.8,1606392.0
70,SALADILLO,2026-04-20,20,30,10,66.7,12,5788,6848,90949551.92,34024299.82,74026197.29,70.0,77.0,1247228.58,516439.13,803415.61,11.0,1031637.3,11.0,1247228.58,70.0,77.0,11:58:01,ACTIVA,3427426.93,180.0,202.0,6377969.1,399.0,-63.6,4394116.0,28.4,3146887.0
71,PADUA,2026-04-20,20,30,10,66.7,12,9531,12546,188994006.13,73107290.04,120721080.23,245.0,306.0,4833852.49,2235155.55,2858875.08,11.0,1916320.0,11.0,4833852.49,245.0,306.0,11:58:57,ACTIVA,4599068.31,248.0,340.0,12608549.61,680.0,5.1,8567321.0,56.4,3733469.0
72,MERCEDES,2026-04-20,20,30,10,66.7,12,8808,10384,210469463.89,87777739.96,113648676.98,214.0,254.0,4689528.77,2356684.2,3106639.05,10.0,1619465.26,11.0,4689528.77,214.0,254.0,11:56:22,ACTIVA,7443569.23,395.0,514.0,20257511.53,798.0,-37.0,8285214.0,56.6,3595685.0
73,ESCOBAR,2026-04-20,20,30,10,66.7,12,7574,10027,141287482.44,26817036.44,129401678.2,161.0,186.0,1662796.59,107055.36,2008894.9,8.0,636192.24,11.0,1662796.5899999999,161.0,186.0,11:58:23,ACTIVA,1883832.31,154.0,202.0,7991505.83,471.0,-11.7,3904277.0,42.6,2241480.0
74,PALERMO IV,2026-04-20,20,30,10,66.7,12,8903,11764,126664096.45,21686649.01,102663373.77,135.0,140.0,1653417.2,374992.01,1160906.58,11.0,677893.41,11.0,1653417.2000000002,135.0,140.0,11:52:49,ACTIVA,1574281.92,137.0,176.0,8643646.37,460.0,5.0,3615684.0,45.7,1962267.0
75,DEVOTO III,2026-04-20,20,30,10,66.7,12,4982,5643,102737870.33,39776253.53,57800222.82,85.0,93.0,1184058.12,337122.55,654143.07,11.0,724695.95,11.0,1184058.1199999999,85.0,93.0,11:55:59,ACTIVA,2535086.87,144.0,161.0,5476986.29,347.0,-53.3,3359126.0,35.2,2175068.0
77,RUTA 20,2026-04-20,20,30,10,66.7,12,8432,9081,125970237.57,31942107.66,118638510.47,119.0,112.0,1905691.02,494863.18,1809140.47,10.0,833755.16,11.0,1905691.02,119.0,112.0,11:58:57,ACTIVA,4204343.85,260.0,359.0,11581553.72,719.0,-54.7,0.0,0.0,-1905691.0
